Juego,Review
Grand Theft Auto V,Great game love the story the graphics are outstanding and I thought the game looked good on the Xbox 360 and ps3 but wow even after all these years the game is still going strong.i thought that the 3 main character thing wouldn't have worked out that good but they managed to do it I got to say though I still prefer playing one character over multiple but that's good for this game because that's what makes it stick out over other massive titles as well.i love and hate some of the gameplay in my opinion Rockstar games could have done way better with the shooting mechanics like it works but It's bland compared to other AAA game that they made in the past for instance gta4 to rdr1 and max Payne 3 those title had very rememberable shooting after everyone is done with gta 5 nobody is going to look back on this game and say oh wow the shooting was awesome compared to other titles Rockstar has made.now on to the driving for me it's a yes it's very enjoyable.then on to the cops I feel like Rockstar could have gone better they should have took after gta 4 for this one the cops are way to brutal they just start shooting at you I have read articles about other players being arrested in this game but out of the 4 times I've played through the story I've never once had a cop not try to kill me and to sort of go back to the driving and shooting it feels like the cops are way to overpowered when driving I was testing out different cars and trucks to see which one is the easiest way to overpower the cops and for some reason cops can overpower a semi and I thought wow that is very unrealistic and I absolutely hate how they will go Infront of your car and just break check the heck out of you and when you try to find a different direction to get out of it they know exactly what your next move is very annoying and they are very hard to escape the best spot that I still find to be the best way to lose the cops is underneath the train tracks by the barber shop in Franklin area that he first starts and back to the shooting it might be just me but it absolutely bothers me how good of shots the AI is it seems like they came out of the movie wanted because they are very good at curving bullet and seem to have eagle eyes because they can shoot you with a pistol or shotgun from a mile away.and to continue with the story mode I like how the 3 main characters each have their own unique special like Michael has the slow motion shooting Franklin has the slow motion driving and Trevor has the rage mode very cool and they each have their own specific clothes and walk style the only thing that drives me crazy is how they all have the same fighting style I find that to be annoying and the fighting isn't that good either like it's predecessor gta 4 one of the best games for hand to hand fighting today in my opinion. And another thing that I wish they would have done with the story was in previous gta games the main character Always got paid after doing every mission this drove me crazy in gta v it made it feel very unopen world for a while we had the freedom to drive and walk around the map but for doing stuff there was not alot to do like for instance Franklin starts out with like 300 dollars what can you get in gtav with that That's like buying ammo and your done and Michael isn't any better he only starts out with I think 9800 dollars it just made the game feel really dead until your able to do the jewelry heist mission then it take you to Trevor why did we have to progress that much in the story just to unlock the tattoo shop?it's a very impressive story but a very boring world there is some activities such as golf tennis drinking and movie theater that only plays 2 boring movies like the first 2 times is like ok that was cool and then after that you really don't ever want to watch those again the one thing I was really hoping Rockstar would have done with the game was add some dlcs to it like extra missions and cars or clothes and please add more songs to the radio.And for the moment everyone likes to hear about is the online when it first came out it was a nightmare a bland world with absolutely nothing to do then later on Rockstar added some activities like parachuting and a couple of races wich at that time was the best way to make money was racing and still is today if your good at it I love and hate online today for this game I like the cars the clothes the tattoos the businesses the driving but the players do tend to keep me away most days now it was good when everyone was out to help everyone because they wanted to make money as well but then one day Rockstar decided to create a little thing call shark cards and then they outrageously increased the economy in the game now things started becoming more expensive and online missions and activities were starting not to hand out alot of money everything became and still is a grind then players decided to steal mom and dad's credit card and buy up all the shark card they could get and then now their bored and don't want to do the work and grind anymore so those players decided to start flying around on bikes and jets and helicopters and blow everything up all the time and make harder and unenjoyable for others who are and were still can't afford to buy shark cards there are private sessions but the thing that sucks is you can't do business missions without being in a public session so it made it very useless to have those in the game and if your going to keep the game going strong the least Rockstar could do is keep updating the radio stations and fix their servers and loading times and hopefully in next upcoming titles will add sessions for players who want to blowup and shoot each other all day and for players who want to make money and for players who can do all of that with specific friend in a private public session lobby great game with horrible online thank you for reading and I hope that this post is helpful for those who have not or have played this game.
Grand Theft Auto V,There's so much to do in this game it's insane. Truly a sandbox all-you-can-eat. Steven Ogg blows my mind.
Grand Theft Auto V,"I played this game for over five years now. I remember the good ol' days of me first playing this marvelous game, from learning how to fly a plane to getting obliterated by a rhino tank online. This game always comes back to me no matter how long I've stopped playing for.<br/> <br/>My rating 10/10"
Grand Theft Auto V,"Played this back in 2013. It was a good send-off for the past-gen consoles. For a little while, I felt rich playing it. The scope was overwhelming. But eventually, I worked my way through it, and by the end I felt kind of empty. The story was off-puttingly cynical and there's about 15 missions that, upon replaying it on my PS4, I realized were dogshit. I'll always admire the ambition, but I don't think it's the masterpiece others thought it was. "
Grand Theft Auto V,"I can see why people like this game. However, for me, the interesting things to do are too far and few between. A lot of effort was placed into detailing the game but the gameplay feels less polished. The online aspect is fun for a while, but even that sort of runs out of steam. <br/><br/>Just not for me. "
Grand Theft Auto V,"Pure shit. There are two good things in this game: Lamar and driving. Sadly, too much of the game is not that. Rockstar spends too much time trying to turn games into movies to realise that all the writing is shit. The reason I like Lamar isn't because I find him funny or cool, but because he doesn't feel like a fucking cartoon. Everyone else was completely flanderised before even being introduced to the player. The combat is boring, the jokes are kindergarten-esque, and Rockstar can't help but get the cum in your eyes."
Grand Theft Auto V,"After hundreds of hours played and real money spent i got ramdomly banned and they reset my character, i loose everything. Support team doesnt give a fuck. Never buy a Rockstar game again.

DONT BUY GTA 6 NEITHER!"
Grand Theft Auto V,"You could say that this game is acceptable, but I do not understand how people like it so much... I mean, it's great and everything ... but the story is not very good and it's not fun to do races, steals, etc. at all times!!!"
Grand Theft Auto V,ffdg
Grand Theft Auto V,6
Grand Theft Auto V,Lorenzo
Grand Theft Auto V, i love this game
Grand Theft Auto V,Super
Grand Theft Auto V,Exceptional
Grand Theft Auto V,"The single player is amazing, the online is torture to play"
Grand Theft Auto V,10/10
Grand Theft Auto V,Just an exceptional game and it will probably take a long time for another game to beat it.
Grand Theft Auto V,IT was [retty fin
Grand Theft Auto V,made me shit myself. too addicting
Grand Theft Auto V,9.5/10
Grand Theft Auto V,ok
Grand Theft Auto V,10/10
Grand Theft Auto V,Best Game Ever
Grand Theft Auto V,"Very beautiful Game, I like GTA #5 so much &lt;3."
Grand Theft Auto V,very good and funny 
Grand Theft Auto V,Great
Grand Theft Auto V,Took the whack up to 11
Grand Theft Auto V,"«BEATEN MORE THAN ONCE»
"
The Witcher 3: Wild Hunt,"Finished Game and DLC but not 100% (yet)<br/><br/>I tried to get into this a few times but just couldnt. Between the carry weight and the visual effect for your witcher sense i ended up giving up.. but my god am i glad i came back. Because there is no other game like the witcher out there. This game truly is a masterpiece to me. <br/><br/>Theres little else i can say that hasnt been said.<br/><br/>Combat- 10/10<br/>Not something i was used too.. or really interested in given most settings but because the story and world matched it so well, gave it a good reason.. it felt really compelling and masterfully done, i dont think i could have done any better. Even if i was just spinning my sword around like a tornado at the end lol.<br/><br/>Story- 10/10<br/>Now the main story's ending isnt the greatest, nothing insanely compelling but as i always say the journey to getting there is what counts. And every minute was a joy. The only quests i didnt like were the ones in skellige but i just didnt like the setting that much. Every character or quest feels important and meaningful. Theres the rare fetch quest but apart from that they are beautiful stories that our witcher fumbles his way through. <br/>The dlc are FUCKING INSANE. Every second of these masterpieces are mindblowing and these alone would get 10/10s from most people. <br/><br/>Gameplay- 10/10<br/>The gameplay never got boring or tedious, the weight being the biggest burden, it only ever got better and better. My favorite part was exploring a city and all its nooks and crannies though.. the forrests were less interesting for me.<br/><br/>Graphics/art- 10/10<br/>Looks fantastic, some really nice breathtaking views to be had and theres tons of attention to detail, from the monsters and darker stuff to just gwent cards they all look phenomenal.<br/><br/>Music- 10/10<br/>~<br/><br/><br/><br/>Overall Score - 10/10"
The Witcher 3: Wild Hunt,"<div>Finished it on PC with a few mods added. I tried to get into this game 3 separate times. The first two was with the PS4 and after 8 hours in, I couldn't get into it. The battle mechanics felt clunky and the voice acting didn't really appeal to me. The two things that bothered me the most was the constant fixing of the swords and armors and the carry weight limit. I absolutely despised these factors.</div><div><br/></div><div>I gave it one more go when the upgraded graphics came out and this time, I played it on PC with mods that helped with the things I found annoying. And Holy Canoli, it made the game so much better. I adore games with strong storytelling and once I was able to remove the things that annoyed me, the Witcher world sucked me in. I got used to the Geralt's voice and the upgraded graphics made the game look so pretty to look at. <br/></div><div><br/></div><div>If I'm being honest, the the main storyline on Withcer 3 was like a 7/10 for me. It was cool, kept me engage most of the time. But the expansion pack, specifically Blood and Wine was at another level. That DLC really put the charm on the game. It felt like a really well done fantasy drama with a lot of the NPC really having depth in their characters. And I I enjoyed the fact that there were other accents used in this part of the world and it gave the Witcher world a fresher vibe.</div><div><br/></div><div>All in all, I rate this 8.5 / 10. Some tedious part here and there (running quests for x) but that's to be expected. If the side quests were created were it didn't feel so regurgitated, I would have given it a 10/10.<br/></div>"
The Witcher 3: Wild Hunt,"A game that is flawless in every aspect except the combat, which is merely passable. One of the most beautiful games ever made with each area being a treat to the eyes, whether it's the swamps of Velen, the city of Novigrad, the islands of Skellige or the lush countryside of Toussaint. World building is top notch - I always enjoy reading the bestiary and journal entries of various characters you meet. The characters are all fantastic, Geralt, Ciri, Yennefer, Trish, etc. are instantly likable and interesting, and while Eredin might not be the best villain ever made, it is more than made up for with Gaunter o'Dimm and Detlaff van der Eretain in the two DLCs. The story is gripping from beginning to end and the side quests are equally fantastic as well. Music is also great, especially in the Skellige region. Role play aspect is also done very well, I rarely if ever felt like my dialogue options were meaningless. Gwent is also quite addicting. <br/><br/>Again, combat could be better and there are quite a lot of bugs but otherwise it's an absolute must-buy and is a game that sets the standards for RPGs everywhere. "
The Witcher 3: Wild Hunt,One of the best games I’ve ever played the soundtrack the story the world building all amazing 
The Witcher 3: Wild Hunt,"Time: 205h<br/>205 hours later, finally beat it! Played through both Hearts of Stone and Blood and Wine as well as what had to be every side quest in the base storyline. 

The main story was great, but I have to agree with what a lot of people thought, which was that the Blood and Wine expansion was just as good if not better than the main story. Toussaint and the many additions (grandmaster armor, mutagens, Corvo Bianco, etc.) all played into a fantastic ending to the Witcher 3. On my playthrough, I think I got the best ending: saving Syanna, killing Dettlaff, and despite Regis being exiled, Geralt and him part amicably which I liked. The ending was a nice cap to the main story.

Hearts of Stone was good as well - Ogeird was a character, and Gaunter O’Grimm certainly made things interesting.

Enjoyed all the different areas, Skellige and Toussaint being my favorite (except for the fact that so many points of interest in Skellige were in the water and required a boat). 

There were certainly parts towards the end where I was tired of continuing to play...but I’m glad I finished it. One of the best games I’ve played, and certainly managed to keep my attention for many, many hours. "
The Witcher 3: Wild Hunt,"The Witcher 3 is by far my favorite game I've ever played.  There are no words that accurately describe the feeling this game gives you when you play it for the first time.  The multiple astounding themes this game presents from politics to family, from war to love, and from loyalty to differing beliefs, they all make The Witcher 3 feel grounded in reality while still being a fantasy game.  What makes this game so great is its astounding writing.  Every quest you do, every character you encounter, every monster you fight, feels real in the sense that the characters and stories are never two dimensional.  Every character has a story to tell, and the characters will present you with tough decisions that will make you question your morals.  Another thing that makes this game so exceptional is its characters, specifically the main cast.  Every character in this game is fleshed out with hours of content that make you care about them.  Every character has their own identity and personality that makes for some of the best chemistry between characters a game has ever seen.  From Geralt's charisma to Yennefer's sarcasm from Zoltan's wit to Vezemir's wisdom, all make for a memorable cast that people can invest and sympathize with on a deeper level.  Now it might sound like I am praising this game to no end, but I would like to state that before going into the game, I had a very closed mind.  From what I saw through videos and from what I heard from friends, I thought the game was going to be too hardcore and another generic unrealistic fantasy game with no relatability to the player.  So this game had to fight against an (unfair) negative bias I had and still managed to not only surpass my low expectations but it managed to climb the ranks of my favorite games.  Genuinely, the only thing I didn't like about the game was after I beat all the main content and DLC, I felt a void because the story and characters I got invested in had to come to an end. All in all, I definitely recommend this game to anyone who likes a really good singleplayer story game.            "
The Witcher 3: Wild Hunt,"Oh boy oh boy. How long has it been since the Witcher 3 has been released. Trust me when I say this but the Witcher 3 is one of the best games I have ever played in my entire life, and that’s something to say.<br/><br/>Now I’m not gonna talk a lot about the game since it has been released for 5 years already, but all I’m going to say is this game is a must buy!!! With an amazing story, and an enticing and awesome rpg system, you just can’t say no to this game. This game is really amazing, how you can craft potions and at which fight you use them really adds to the experience. Before you go in to a fight, you have to be fully prepared by doing quests and what not, all of them really amazing and with great variety, never boring! Honestly, I think this game is a must have for Gamers, it is probably one of the best games this decade, and really revolutionized RPG games."
The Witcher 3: Wild Hunt,"One of the best realized fictional settings ever. Absolutely worth the price of admission if you're into worldbuilding at all. Oh, and that's just one aspect of a beautiful, multifaceted game with so many positives it's impossible to list. "
The Witcher 3: Wild Hunt,"Simply outstanding.<br/>Comparing with Skyrim, the Elder Scroll, this game is an upgrade in many aspects. Beautiful graphics, catching story, versatile open world, cutting-edge AI and plethora of friends/foes/missions. I absolutely loved every minute of game play. Because of brutal violence, sexual references, profanity, etc. not at all recommended for people below 18, and I'm serious here. Once you finish the game, you really feel an emptiness and wish that there was more. For those really craving, you must try the expansion pack Blood and Wine.

"
The Witcher 3: Wild Hunt,One of the best RPG's I've ever played. Even side quest felt like they had some kind of purpose. 
The Witcher 3: Wild Hunt,"story is fun, characters are fun, combat is shallow. last thing i did before uninstalling was stunlock a griffin by left-clicking over and over for about 2 minutes until it finally died. i may come back one day and try this again with mods"
The Witcher 3: Wild Hunt,"after 4 long years i’ve finally finished the main story. no matter how much I love breath of the wild, it’s impossible to act like this game isn’t the best game ever made. and I got the good ending! can’t wait for cyberpunk 2077. "
The Witcher 3: Wild Hunt,A very spectacular game love the story and still a very amazing looking game great graphics the characters are Very rememberable this is going to irritate the hardcore fans but I didn't really care for the fighting I like more of the Skyrim or batman/sleeping dogs fighting is preferred for me but I will say that the blood and gore looked very amazing I liked the open world I just found annoying at times when you want to have a look around the world it seems that there is always a creature getting in the but besides that love the game if you haven't yet I would suggest that you go watch the new Witcher series on Netflix and play this game it is totally worth it.
The Witcher 3: Wild Hunt,"The Witcher 3 is my favourite rpg of all time and is right at the top of the list for favourite game of this generation.<br/><br/>It takes a bit of time to get into because there are a lot of systems you need to understand, and it takes a bit of time to fully appreciate the world they have created. Once I got there it was absolutely fantastic. The rpg upgrade mechanisms are unique and well done. The equipment customization and enhancements are plentiful when you fully utilize potions and oils etc. But when it comes down to a single greatest feat it is the world building. The detail in this game is incredible. I’ve never had so much fun in a fantasy setting.<br/><br/>Final Score: A++"
The Witcher 3: Wild Hunt,"This game is overrated! Is probably what your thoughts will be as a person who straight jumped into the 3rd witcher game,  it’s a massive game, and your opinion about it would count after  at least 30 hours which is almost the time to play a new game, those who feel overwhelmed by it and found it tedious will probably not wait for ~30 hours to decide. Which is unfortunate, as its only after about 30 hours that this game progresses from something that is tedious/slow/overwhelming to come show itself to be one of the most polished deep video games that's been made to date. And when I say deep I don’t meant it to be very abstract in its writing, or bombarding the player with themes and theories that they couldn’t have up with, in fact there is nothing very deep or unexpected in it. What it has however is a sense of scale that is unsurpassed in any video game I've ever played.
<br/>The Witcher 3 continues the story of Geralt of Rivia, a known monster slayer aka Witcher who …you guessed it ..kills monster!  After the events of the Witcher 1 &amp;amp; 2 Geralt has restored his memory and now he is searching for his former partner Yennefer of Vengerberg, Geralt with Yennefer have to look for Ciri who is constantly on run and is being chased by the ""Wild Hunt"" <br/>The story  starts slow as Geralt wants to find Ciri his adopted daughter,  the game just like its prequels consists of prologue, acts, epilogue, the prologue starts with a tutorial area  called White Orchard which teaches the player about the game and introduces them to its basics, it is this part that is slow and tedious because the game didn’t kick in yet, the game continues with act 1 main goal which is to find Ciri, the story may seem very simple as you have to look for a character but inside the journey Geralt will meet very complex characters and the main quests start going branching paths to side quests who are among the greatest side quests ever written in gaming. The game continues with ACT 2 and takes into the epic battle genre this time, in this act the game has lord of the rings vibes, an epic battle,  which then continues on its epic scale into ACT 3, until the epilogue which can vary depending on the player decisions in the game. No matter what ending the player gets it always has something great and emotional behind it.<br/>The story doesn’t end there, after the main game CD project RED introduces an expansion (Hearts of Stone) which is a short story  expansion that blew my mind at how smartly written and engaging it is, the expansions introduces one of the most cunning and mysterious villains in history of gaming, and  another equally amazing character. Unlike the main game in terms of side quests the quantity is very low, as the main focus here was to tell the short story in the main quest. The expansion also added some of the best boss fights in the whole series, boss fights that were a huge step up from the main game, requiring more mechanics to beat and having more advanced pattern.<br/>The story progresses afterwards to reach the second expansion (Blood and Wine) which marks the end of Geralt journey, in my opinion an expansion one of its kind, very huge area that is also very beautiful, contains some of my favorite characters in the series, the expansion starts as a murder mystery then progresses into something fairytale-like that is full of neat references to famous books and finishes with one of the most memorable boss fights I have ever had in gaming.
<br/><br/>It has to be noticed I have not mentioned the other aspects of the game, which I will cover in short.
The Gameplay itself is very good, and while the combat and controls may feel clunky at first it won't take much time to get used to them, which afterwards Geralt feels like a dancing swordsman which is what he really is (according to the books and the lore). The combat itself is fairly basic and limited (again because of the lore) and contains light/heavy attack and dodge(side-step)/Roll buttons as well as having signs (mini-magic) it has similarities to Batman combat system, however I find the combat to start getting more advanced and having more depth once the players starts going with alchemy (bombs-oils-decoctions-potions) which basically adds new abilities to the gameplay, on higher difficulties the player needs to take advantage of monsters, read about their weakness and use the Witcher tools to overcome the challenge, the gameplay progresses by increasing levels and unlocking more skills to make various builds and especially around the second expansions it adds another layer to it by adding something called mutations. There are a lot of monsters and each has interesting ideas and design behind them. The dialogue choices are impactful and then there is one of my favorite mini games ever made called Gwent, a tactical card game that is really enjoyable, I sunk many hours into it while  forgetting about the quests that im doing.
<br/><br/>The Music is Slavic inspired and feels folklorish, its simple music most of the time, not an orchestra type of music, its simple and has as Geralt says ""Nice Tune""  it contains many memorable soundtracks.
<br/>The voice acting is greatly done as well, there is a difference in accents between regions which strongly showcase the different cultures the game tries to portray.  
<br/><br/>The art direction is simply breathtaking, the game is very screenshot worthy, to understand this point simply go to any thread on the internet and check for Witcher 3 shots, preferably on PC high settings and the amount of details and beautiful art design is mindblowing. It looks amazing.
<br/><br/>The character cast is among my favorite, they have great distinct personalities, they have good development and backstory counting the previous games as well, some of the most complex and well written characters in gaming are presented in Witcher series, memorable cast with beautiful design and nice personality. You may notice most characters are not really good and not really bad, its shades of gray as in Witcher world there is no absolute evil or good.
<br/><br/>Overall the game is open world story driven rpg, the main draw behind the game is its worldbuilding and writing which has main &amp;amp; side quests and characters. The game has the other good aspects as well, but if you are into open world story driven rpg games I cannot recommend this one enough, it is a must play game and is truly among the greatest games of all time, its recommended that you at least be familiar with the prequels Witcher 1 and Witcher 2 at least, to further understand the story better and enhance your experience and immersion. 
Thank you for Reading!  

"
The Witcher 3: Wild Hunt,"If you did not play The Witcher 3: Wild Hunt yet, PLAY IT, the game is just amazing...<br/>Music, graphics, story, fighting mechanics, it's just incredible.<br/>Congrats CD Projekt Red and thanks for making this game one of my favorites."
The Witcher 3: Wild Hunt,"tl;dr An absolute masterpiece and a genre defining game. |.|<br/><br/><br/>I can't sing this game enough praises. This game will absolutely suck you in from the first minute until you finally finish Geralt's quest. The storytelling (Yes, I know it's based on a novel) is top notch, the world design is phenomenal, the music is near orgasmic, and the characters will pull you in and make you feel that you are indeed a witcher. If this game has somehow slipped under your radar, do yourself a favor and pick it up. CD Projekt Red has released an absolute must play gem.<br/><br/><br/>This is one of very few games I would ever consider giving this score but, 10/10 this game is (as stated above) an absolute masterpiece."
The Witcher 3: Wild Hunt,Sooooooooooooo... I'm right now playing The Witcher III: Wild Hunt. For the third time! And my plan is to complete it 100%! For the third time! 'Nuff said.
The Witcher 3: Wild Hunt,"Remember the ""diving"" stuff in Sci-Fi futuristic media where you'd virtually go into a different world? This is the current-gen equivalent of that. A beautiful open living world that never kicks you out of your immersion and keeps calling you back long after you've completed the masterfully-told story. Insane attention to detail, crazy polish, characters from integral ones to NPCs that actually don't remind you they are scripted, hundreds of unique side quests, much more, and a weird horse."
The Witcher 3: Wild Hunt,"If any of the people leaving positive reviews on Monster Hunter World had played this, they wouldn't be leaving positive reviews on Monster Hunter World."
The Witcher 3: Wild Hunt,"I have way more than 100 hours in it on my PS4 and I started replaying it on PC too, What can I say? This really is a GOTY, and CDPR deserves all the support and praise it got for it. Truly a masterpiece."
The Witcher 3: Wild Hunt,"The best adventure I've seen in my entire life – not only in games, but also in books, in movies, anywhere!  This is why games are the future of story-telling. 
I strongly believe that every developer has to play The Witcher 3 before starting his own game. Not to understand that you can't do nothing even close to this masterpiece, but to see that amazing, out of the box games can be done without following stupid modern trends and still be praised and profitable. This game redefined the cRPG genre and I can't wait for CDPR to drop Cyberpunk 2077.
"
The Witcher 3: Wild Hunt,"I have played dozens of games over the last few years, and I doubt that anything can even compare with Witcher 3. From the visuals to the lore to the gameplay mechanics to the story – this is one the best piece of art humanity ever produced. 
CDPR are the masters of RPGs and they definitely raised the bar in gamedev that no one could reach up to this day. This game is worth any money it is sold for, trust me, it so good you'll want two copies.
"
The Witcher 3: Wild Hunt,"I invested many hours into it, on the console, on the PC, the game is great anywhere. It's worth a single cent even when it is sold for the full price. There are so many content and non-linearity and choices are so compelling that it is easy to replay it for four or five times, which will make up for a decade if you have a job and a social life. <br/><br/>Waiting for the game of the decade edition!
"
The Witcher 3: Wild Hunt,This is the epitome of how games should be made. The Witcher drove me back home after a long day at work for a year. It brought tears to my eyes. It made me laugh. It made me angry. It made me happy. It made me fall in love with gaming all over again. 
The Witcher 3: Wild Hunt,I want to have local amnesia and forget half-year of my life spent in Witcher 3. Just to play this game again.
The Witcher 3: Wild Hunt,EPIC adventure - MUST-HAVE RPG game - and don't forget to get DLCs which are like additional games in length.
The Witcher 3: Wild Hunt,"Stellar. Greater than the sum of its parts, and a beautiful experience"
The Witcher 3: Wild Hunt, 7.8/10.0
The Witcher 3: Wild Hunt,The invention is breezy 
The Witcher 3: Wild Hunt,Great
The Witcher 3: Wild Hunt,Exceptional just for the atmosphere and quests
The Witcher 3: Wild Hunt,10/10
The Witcher 3: Wild Hunt,I didn’t like the game
The Witcher 3: Wild Hunt,best game for ever
The Witcher 3: Wild Hunt,«BLEW MY MIND»
The Witcher 3: Wild Hunt,One of my favorite games!
The Witcher 3: Wild Hunt,+
The Witcher 3: Wild Hunt,Read all the books.Played all the Witchers.<br/>Just my applause.
The Witcher 3: Wild Hunt,.
